team,player,position,apps_in_squad,apps_with_voto,apps_active,apps_missed,pct_active_rate,pct_fv_captured,total_voto,total_fv,total_active_fv,total_fv_missed,avg_active_fv,avg_fv_missed,best_active_fv,worst_active_fv
LABORATORIO DATI,De Roon,C,15,12,2,10,0.1333,0.1857,72.0,70.0,13.0,57.0,6.5,5.7,7.0,6.0
LABORATORIO DATI,Piccoli,A,15,12,2,10,0.1333,0.1714,67.0,70.0,12.0,58.0,6.0,5.8,6.0,6.0
LABORATORIO DATI,Morata,A,15,9,2,7,0.1333,0.1809,49.0,47.0,8.5,38.5,4.25,5.5,5.5,3.0
LABORATORIO DATI,Suzuki,P,15,9,0,9,0.0,0.0,53.5,47.5,0.0,47.5,,5.28,,
LABORATORIO DATI,Palma,D,15,3,0,3,0.0,0.0,16.5,16.5,0.0,16.5,,5.5,,
LABORATORIO DATI,Frendrup,C,15,14,0,14,0.0,0.0,82.5,81.5,0.0,81.5,,5.82,,
LABORATORIO DATI,Radunovic,P,21,0,0,0,0.0,,0.0,0.0,0.0,0.0,,,,
LABORATORIO DATI,Collocolo,C,21,2,0,2,0.0,0.0,11.0,11.0,0.0,11.0,,5.5,,
PREMIER LEAGUE SLOPS,Vlasic,C,36,35,30,5,0.8333,0.8737,211.5,233.5,204.0,29.5,6.8,5.9,11.0,4.5
PREMIER LEAGUE SLOPS,Akanji,D,36,32,31,1,0.8611,0.9707,201.0,205.0,199.0,6.0,6.42,6.0,10.5,5.0
PREMIER LEAGUE SLOPS,De Gea,P,36,35,35,0,0.9722,1.0,219.0,182.0,182.0,0.0,5.2,,8.0,1.5
PREMIER LEAGUE SLOPS,Bernabè,C,35,29,27,2,0.7714,0.9392,179.0,189.0,177.5,11.5,6.57,5.75,10.0,5.0
PREMIER LEAGUE SLOPS,Davis K.,A,36,28,24,4,0.6667,0.8515,176.0,202.0,172.0,30.0,7.17,7.5,11.0,5.0
PREMIER LEAGUE SLOPS,Tomori,D,36,30,26,4,0.7222,0.8612,179.0,176.5,152.0,24.5,5.85,6.12,7.0,3.5
PREMIER LEAGUE SLOPS,Perrone,C,36,34,24,10,0.6667,0.6801,212.0,223.5,152.0,71.5,6.33,7.15,11.0,5.0
PREMIER LEAGUE SLOPS,Scamacca,A,36,20,18,2,0.5,0.9139,123.0,151.0,138.0,13.0,7.67,6.5,14.5,5.0
PREMIER LEAGUE SLOPS,Mina,D,36,24,18,6,0.5,0.7715,144.5,151.0,116.5,34.5,6.47,5.75,11.0,4.0
PREMIER LEAGUE SLOPS,De Bruyne,C,36,15,15,0,0.4167,1.0,94.0,105.0,105.0,0.0,7.0,,11.5,5.0
PREMIER LEAGUE SLOPS,Fullkrug,A,21,19,17,2,0.8095,0.8969,109.5,111.5,100.0,11.5,5.88,5.75,11.0,2.5
PREMIER LEAGUE SLOPS,Matic,C,36,33,15,18,0.4167,0.4734,197.5,197.5,93.5,104.0,6.23,5.78,10.0,5.0
PREMIER LEAGUE SLOPS,Cambiaghi,A,36,22,12,10,0.3333,0.5938,132.0,144.0,85.5,58.5,7.12,5.85,13.0,5.5
PREMIER LEAGUE SLOPS,Gutierrez,D,36,21,14,7,0.3889,0.6475,125.5,130.5,84.5,46.0,6.04,6.57,6.5,5.5
PREMIER LEAGUE SLOPS,Ferguson E.,A,36,12,11,1,0.3056,0.9408,72.5,84.5,79.5,5.0,7.23,5.0,11.0,5.5
PREMIER LEAGUE SLOPS,Luis Henrique,C,21,17,11,6,0.5238,0.649,100.0,104.0,67.5,36.5,6.14,6.08,10.0,5.0
PREMIER LEAGUE SLOPS,Guendouzi,C,21,14,10,4,0.4762,0.7429,86.0,87.5,65.0,22.5,6.5,5.62,10.5,5.5
PREMIER LEAGUE SLOPS,Coco,D,15,15,11,4,0.7333,0.7278,85.0,84.5,61.5,23.0,5.59,5.75,6.5,5.0
PREMIER LEAGUE SLOPS,Olivera,D,36,21,10,11,0.2778,0.479,120.5,119.0,57.0,62.0,5.7,5.64,6.5,5.0
PREMIER LEAGUE SLOPS,Kamara H.,D,21,15,8,7,0.381,0.5287,87.5,87.0,46.0,41.0,5.75,5.86,7.5,5.0
PREMIER LEAGUE SLOPS,Sulemana K.,A,21,11,4,7,0.1905,0.3014,67.0,73.0,22.0,51.0,5.5,7.29,6.0,5.0
PREMIER LEAGUE SLOPS,Tsimikas,D,15,4,3,1,0.2,0.7609,23.5,23.0,17.5,5.5,5.83,5.5,6.0,5.5
PREMIER LEAGUE SLOPS,Frattesi,C,13,7,3,4,0.2308,0.4321,40.5,40.5,17.5,23.0,5.83,5.75,6.0,5.5
PREMIER LEAGUE SLOPS,Angelino,D,21,3,3,0,0.1429,1.0,17.5,17.0,17.0,0.0,5.67,,6.0,5.0
PREMIER LEAGUE SLOPS,Dele-Bashiru,C,15,4,2,2,0.1333,0.5,23.0,23.0,11.5,11.5,5.75,5.75,6.0,5.5
PREMIER LEAGUE SLOPS,Piotrowski,C,6,4,2,2,0.3333,0.5111,22.5,22.5,11.5,11.0,5.75,5.5,6.0,5.5
PREMIER LEAGUE SLOPS,Pedro,A,15,8,2,6,0.1333,0.234,47.0,47.0,11.0,36.0,5.5,6.0,6.0,5.0
