giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
9,TEAM JODIODDR,TEAM ZTOTTI,away,1,2,L,66.0,433,1.0,
9,U CAN U UP,LABORATORIO DATI,home,0,2,L,62.5,442,0.5,2.0
9,LABORATORIO DATI,U CAN U UP,away,2,0,W,75.5,433,1.0,
9,TEAM ASBOVE,BTGCBUGC,home,3,1,W,80.5,433,1.0,2.0
9,BTGCBUGC,TEAM ASBOVE,away,1,3,L,68.0,433,0.5,
10,U CAN U UP,11 CRISTANTE UNITED,home,2,0,W,73.0,442,2.0,2.0
10,11 CRISTANTE UNITED,U CAN U UP,away,0,2,L,64.5,433,1.0,
10,KKK,LABORATORIO DATI,home,2,2,D,72.0,343,,2.0
10,LABORATORIO DATI,KKK,away,2,2,D,77.5,442,,
10,TEAM ZTOTTI,CUORE LAZIALE,home,1,3,L,70.0,442,0.5,2.0
10,CUORE LAZIALE,TEAM ZTOTTI,away,3,1,W,80.5,343,,
10,TEAM JODIODDR,BTGCBUGC,home,1,2,L,71.5,433,0.5,2.0
10,BTGCBUGC,TEAM JODIODDR,away,2,1,W,74.5,433,1.0,
10,TEAM ASBOVE,PREMIER LEAGUE SLOPS,home,1,4,L,70.0,433,1.0,2.0
10,PREMIER LEAGUE SLOPS,TEAM ASBOVE,away,4,1,W,88.0,352,,
11,11 CRISTANTE UNITED,KKK,home,1,2,L,68.5,433,0.5,2.0
11,KKK,11 CRISTANTE UNITED,away,2,1,W,73.5,433,2.0,
11,PREMIER LEAGUE SLOPS,TEAM JODIODDR,home,1,0,W,68.0,343,,2.0
11,TEAM JODIODDR,PREMIER LEAGUE SLOPS,away,0,1,L,61.0,442,2.0,
11,BTGCBUGC,TEAM ZTOTTI,home,2,2,D,73.0,433,1.0,2.0
11,TEAM ZTOTTI,BTGCBUGC,away,2,2,D,76.5,433,2.0,
11,CUORE LAZIALE,U CAN U UP,home,3,3,D,80.0,343,,2.0
11,U CAN U UP,CUORE LAZIALE,away,3,3,D,83.0,343,,
11,LABORATORIO DATI,TEAM ASBOVE,home,2,2,D,72.0,343,,2.0
11,TEAM ASBOVE,LABORATORIO DATI,away,2,2,D,72.5,433,,
12,TEAM ASBOVE,11 CRISTANTE UNITED,home,2,2,D,75.0,433,1.0,2.0
12,11 CRISTANTE UNITED,TEAM ASBOVE,away,2,2,D,72.5,433,1.0,
12,TEAM JODIODDR,LABORATORIO DATI,home,1,3,L,70.0,433,1.0,2.0
12,LABORATORIO DATI,TEAM JODIODDR,away,3,1,W,82.5,343,,
12,KKK,CUORE LAZIALE,home,2,0,W,72.0,442,1.0,2.0
12,CUORE LAZIALE,KKK,away,0,2,L,64.5,343,,
12,TEAM ZTOTTI,U CAN U UP,home,0,2,L,60.0,433,,2.0
12,U CAN U UP,TEAM ZTOTTI,away,2,0,W,76.0,343,,
12,BTGCBUGC,PREMIER LEAGUE SLOPS,home,1,1,D,67.0,343,,2.0
12,PREMIER LEAGUE SLOPS,BTGCBUGC,away,1,1,D,67.0,343,,
13,U CAN U UP,KKK,home,1,2,L,69.5,433,0.5,2.0
13,KKK,U CAN U UP,away,2,1,W,74.0,442,2.0,
13,LABORATORIO DATI,BTGCBUGC,home,0,1,L,63.5,343,,2.0
13,BTGCBUGC,LABORATORIO DATI,away,1,0,W,66.0,433,2.0,
13,11 CRISTANTE UNITED,TEAM JODIODDR,home,0,1,L,58.0,433,,2.0
13,TEAM JODIODDR,11 CRISTANTE UNITED,away,1,0,W,69.5,433,1.0,
13,PREMIER LEAGUE SLOPS,TEAM ZTOTTI,home,3,0,W,80.0,343,,2.0
13,TEAM ZTOTTI,PREMIER LEAGUE SLOPS,away,0,3,L,59.0,433,0.5,
13,CUORE LAZIALE,TEAM ASBOVE,home,1,1,D,71.5,433,1.0,2.0
13,TEAM ASBOVE,CUORE LAZIALE,away,1,1,D,71.0,343,,
14,BTGCBUGC,11 CRISTANTE UNITED,home,1,1,D,71.5,433,0.5,2.0
14,11 CRISTANTE UNITED,BTGCBUGC,away,1,1,D,68.5,433,,
14,PREMIER LEAGUE SLOPS,LABORATORIO DATI,home,1,4,L,66.0,343,,2.0
14,LABORATORIO DATI,PREMIER LEAGUE SLOPS,away,4,1,W,85.0,343,,
14,TEAM ZTOTTI,KKK,home,2,1,W,75.5,442,1.0,2.0
14,KKK,TEAM ZTOTTI,away,1,2,L,67.0,442,1.0,
14,TEAM JODIODDR,CUORE LAZIALE,home,2,0,W,75.5,433,2.0,2.0
14,CUORE LAZIALE,TEAM JODIODDR,away,0,2,L,65.0,433,2.0,
14,TEAM ASBOVE,U CAN U UP,home,2,2,D,77.0,433,1.0,2.0
14,U CAN U UP,TEAM ASBOVE,away,2,2,D,72.0,433,1.0,
15,CUORE LAZIALE,BTGCBUGC,home,2,2,D,75.0,433,0.5,2.0
15,BTGCBUGC,CUORE LAZIALE,away,2,2,D,72.5,433,2.0,
15,U CAN U UP,TEAM JODIODDR,home,4,1,W,84.5,343,,2.0
15,TEAM JODIODDR,U CAN U UP,away,1,4,L,69.0,433,0.5,
15,LABORATORIO DATI,TEAM ZTOTTI,home,1,2,L,68.0,343,,2.0
15,TEAM ZTOTTI,LABORATORIO DATI,away,2,1,W,76.5,433,0.5,
15,KKK,TEAM ASBOVE,home,2,2,D,75.5,442,1.0,2.0
15,TEAM ASBOVE,KKK,away,2,2,D,77.5,343,,
15,11 CRISTANTE UNITED,PREMIER LEAGUE SLOPS,home,0,3,L,60.5,433,,2.0
15,PREMIER LEAGUE SLOPS,11 CRISTANTE UNITED,away,3,0,W,80.5,343,,
16,LABORATORIO DATI,11 CRISTANTE UNITED,home,1,2,L,68.0,343,,2.0
16,11 CRISTANTE UNITED,LABORATORIO DATI,away,2,1,W,77.0,433,0.5,
16,TEAM JODIODDR,KKK,home,0,1,L,63.5,433,,2.0
16,KKK,TEAM JODIODDR,away,1,0,W,66.5,343,,
16,PREMIER LEAGUE SLOPS,CUORE LAZIALE,home,1,2,L,68.5,343,,2.0
16,CUORE LAZIALE,PREMIER LEAGUE SLOPS,away,2,1,W,75.0,343,,
16,BTGCBUGC,U CAN U UP,home,1,0,W,69.0,343,,2.0
