giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
12,SANSHIMI,BOSS ROMAZDA,away,1,5,L,67.5,343,,
12,TEAM CHENFENGZI,MARIO GO,home,0,2,L,64.5,442,,2.0
12,MARIO GO,TEAM CHENFENGZI,away,2,0,W,72.0,352,,
12,X-17,XIAO SHI,home,2,3,L,73.0,442,0.5,2.0
12,XIAO SHI,X-17,away,3,2,W,79.0,442,2.0,
13,MARIO GO,BOSS ROMAZDA,home,1,1,D,66.0,352,,2.0
13,BOSS ROMAZDA,MARIO GO,away,1,1,D,68.0,433,0.5,
13,TEAM SITH,X-17,home,2,1,W,72.5,442,1.0,2.0
13,X-17,TEAM SITH,away,1,2,L,69.5,442,1.0,
13,BALZARETTI42,MIZI-MAIGO,home,0,2,L,60.5,442,,2.0
13,MIZI-MAIGO,BALZARETTI42,away,2,0,W,76.0,442,1.0,
13,XIAO SHI,TEAM CHENFENGZI,home,2,1,W,73.0,442,1.0,2.0
13,TEAM CHENFENGZI,XIAO SHI,away,1,2,L,70.0,442,3.0,
13,SANSHIMI,TEAM BRAUNA,home,0,1,L,63.0,343,,2.0
13,TEAM BRAUNA,SANSHIMI,away,1,0,W,67.5,433,0.5,
14,X-17,BALZARETTI42,home,2,2,D,72.5,442,0.5,2.0
14,BALZARETTI42,X-17,away,2,2,D,72.5,343,,
14,XIAO SHI,TEAM SITH,home,2,2,D,77.0,442,1.0,2.0
14,TEAM SITH,XIAO SHI,away,2,2,D,74.5,442,1.0,
14,TEAM CHENFENGZI,BOSS ROMAZDA,home,0,1,L,62.0,442,,2.0
14,BOSS ROMAZDA,TEAM CHENFENGZI,away,1,0,W,70.0,433,1.0,
14,MIZI-MAIGO,SANSHIMI,home,1,0,W,67.5,442,1.0,2.0
14,SANSHIMI,MIZI-MAIGO,away,0,1,L,58.0,442,0.5,
14,TEAM BRAUNA,MARIO GO,home,2,3,L,72.0,433,0.5,2.0
14,MARIO GO,TEAM BRAUNA,away,3,2,W,80.0,451,2.0,
15,SANSHIMI,X-17,home,0,1,L,62.5,352,,2.0
15,X-17,SANSHIMI,away,1,0,W,71.5,433,0.5,
15,MARIO GO,MIZI-MAIGO,home,1,1,D,66.5,442,,2.0
15,MIZI-MAIGO,MARIO GO,away,1,1,D,71.0,442,1.0,
15,TEAM SITH,TEAM CHENFENGZI,home,2,2,D,73.5,442,1.0,2.0
