giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
25,BOVE,BJ EASTONE FC,away,2,2,D,72.5,433,2.0,
25,TEAM ASRSUPERJULIAN,VENI VIDI VICI,home,2,1,W,74.5,343,,2.0
25,VENI VIDI VICI,TEAM ASRSUPERJULIAN,away,1,2,L,70.5,343,,
25,FANTA GPT,TIGER REBELS,home,2,2,D,77.5,343,,2.0
25,TIGER REBELS,FANTA GPT,away,2,2,D,72.5,442,,
25,KKK,ETHANANITA,home,1,0,W,70.5,433,0.5,2.0
25,ETHANANITA,KKK,away,0,1,L,60.5,541,0.5,
25,WINNING MOMENT,DARTH VADER,home,1,1,D,70.0,442,1.0,2.0
25,DARTH VADER,WINNING MOMENT,away,1,1,D,67.0,343,,
26,BJ EASTONE FC,DARTH VADER,home,1,2,L,70.0,451,0.5,2.0
26,DARTH VADER,BJ EASTONE FC,away,2,1,W,72.5,343,,
26,BOVE,FANTA GPT,home,0,0,D,64.0,433,0.5,2.0
26,FANTA GPT,BOVE,away,0,0,D,65.5,343,,
26,ETHANANITA,TEAM ASRSUPERJULIAN,home,5,1,W,93.5,442,2.0,2.0
26,TEAM ASRSUPERJULIAN,ETHANANITA,away,1,5,L,71.5,343,,
26,VENI VIDI VICI,WINNING MOMENT,home,2,1,W,73.5,343,,2.0
26,WINNING MOMENT,VENI VIDI VICI,away,1,2,L,68.0,442,1.0,
26,TIGER REBELS,KKK,home,1,1,D,69.5,442,1.0,2.0
26,KKK,TIGER REBELS,away,1,1,D,69.0,433,1.0,
27,TEAM ASRSUPERJULIAN,TIGER REBELS,home,2,1,W,73.5,343,,2.0
27,TIGER REBELS,TEAM ASRSUPERJULIAN,away,1,2,L,69.0,442,0.5,
27,FANTA GPT,BJ EASTONE FC,home,1,1,D,66.5,433,,2.0
27,BJ EASTONE FC,FANTA GPT,away,1,1,D,66.5,451,1.0,
27,DARTH VADER,VENI VIDI VICI,home,2,1,W,72.0,343,,2.0
27,VENI VIDI VICI,DARTH VADER,away,1,2,L,68.0,343,,
27,KKK,BOVE,home,3,2,W,83.0,343,,2.0
