participant,role,player,club,costo,credits_residui
ChowpouRoma,D,Acerbi,Int,20.0,1.0
bushaozi,D,Martin,Gen,14.0,0.0
ChowpouRoma,D,Spinazzola,Nap,16.0,1.0
bushaozi,D,Walukiewicz,Sas,6.0,0.0
ChowpouRoma,D,Calabresi,Pis,6.0,1.0
bushaozi,D,Gutierrez,Nap,6.0,0.0
ChowpouRoma,D,Gabbia,Mil,7.0,1.0
bushaozi,D,Dumfries,Int,50.0,0.0
ChowpouRoma,D,Cambiaso,Juv,31.0,1.0
bushaozi,D,Gila,Laz,9.0,0.0
ChowpouRoma,D,Holm,Juv,14.0,1.0
bushaozi,D,Olivera,Nap,3.0,0.0
ChowpouRoma,D,Tiago Gabriel,Lec,2.0,1.0
bushaozi,D,Belghali,Ver,17.0,0.0
