giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
14,GALLIFREY,TEAM SJ,home,1,0,W,67.0,343,,2.0
14,TEAM SJ,GALLIFREY,away,0,1,L,64.5,433,2.0,
14,CHOWPOUROMA,SUMMERED,home,2,1,W,77.5,433,,2.0
14,SUMMERED,CHOWPOUROMA,away,1,2,L,70.5,442,,
14,BUSHAOZI,HIGHRIVER,home,2,0,W,75.0,442,1.0,2.0
14,HIGHRIVER,BUSHAOZI,away,0,2,L,62.5,343,,
14,BATIGOAL,FC MCDONALD,home,2,2,D,73.5,532,3.0,2.0
14,FC MCDONALD,BATIGOAL,away,2,2,D,77.5,343,,
14,ZDENEK ZEMAN,TEAM DELVECCHIO23,home,2,1,W,72.5,433,1.0,2.0
14,TEAM DELVECCHIO23,ZDENEK ZEMAN,away,1,2,L,66.0,343,,
15,TEAM SJ,CHOWPOUROMA,home,3,0,W,83.5,433,1.0,2.0
15,CHOWPOUROMA,TEAM SJ,away,0,3,L,60.5,433,,
15,TEAM DELVECCHIO23,GALLIFREY,home,3,2,W,80.0,343,,2.0
15,GALLIFREY,TEAM DELVECCHIO23,away,2,3,L,75.5,343,,
15,SUMMERED,BATIGOAL,home,3,2,W,78.0,433,2.0,2.0
15,BATIGOAL,SUMMERED,away,2,3,L,75.5,532,1.0,
15,FC MCDONALD,HIGHRIVER,home,2,0,W,72.5,343,,2.0
15,HIGHRIVER,FC MCDONALD,away,0,2,L,64.0,343,,
15,BUSHAOZI,ZDENEK ZEMAN,home,1,3,L,70.5,352,,2.0
15,ZDENEK ZEMAN,BUSHAOZI,away,3,1,W,78.5,433,1.0,
16,BATIGOAL,TEAM SJ,home,3,1,W,78.5,442,0.5,2.0
16,TEAM SJ,BATIGOAL,away,1,3,L,66.0,433,1.0,
16,SUMMERED,FC MCDONALD,home,2,1,W,76.0,433,,2.0
16,FC MCDONALD,SUMMERED,away,1,2,L,67.5,343,,
16,HIGHRIVER,TEAM DELVECCHIO23,home,2,1,W,73.5,343,,2.0
16,TEAM DELVECCHIO23,HIGHRIVER,away,1,2,L,66.0,343,,
16,CHOWPOUROMA,ZDENEK ZEMAN,home,2,1,W,74.0,433,,2.0
16,ZDENEK ZEMAN,CHOWPOUROMA,away,1,2,L,68.5,442,1.0,
16,GALLIFREY,BUSHAOZI,home,1,2,L,69.0,442,0.5,2.0
16,BUSHAOZI,GALLIFREY,away,2,1,W,74.0,352,,
17,TEAM SJ,BUSHAOZI,home,4,2,W,84.0,442,1.0,2.0
17,BUSHAOZI,TEAM SJ,away,2,4,L,74.5,352,,
17,CHOWPOUROMA,HIGHRIVER,home,0,1,L,55.0,433,1.0,2.0
17,HIGHRIVER,CHOWPOUROMA,away,1,0,W,70.0,343,,
17,GALLIFREY,FC MCDONALD,home,2,2,D,76.0,343,,2.0
17,FC MCDONALD,GALLIFREY,away,2,2,D,75.0,343,,
17,BATIGOAL,TEAM DELVECCHIO23,home,1,1,D,71.0,343,,2.0
17,TEAM DELVECCHIO23,BATIGOAL,away,1,1,D,70.5,343,,
17,ZDENEK ZEMAN,SUMMERED,home,1,1,D,71.5,451,0.5,2.0
17,SUMMERED,ZDENEK ZEMAN,away,1,1,D,71.0,433,0.5,
18,TEAM DELVECCHIO23,TEAM SJ,home,3,2,W,81.0,343,,2.0
18,TEAM SJ,TEAM DELVECCHIO23,away,2,3,L,75.0,433,2.0,
18,BUSHAOZI,BATIGOAL,home,4,2,W,84.5,352,,2.0
18,BATIGOAL,BUSHAOZI,away,2,4,L,73.0,343,,
18,FC MCDONALD,CHOWPOUROMA,home,2,1,W,74.0,343,,2.0
18,CHOWPOUROMA,FC MCDONALD,away,1,2,L,67.0,433,1.0,
18,HIGHRIVER,ZDENEK ZEMAN,home,1,1,D,70.5,343,,2.0
18,ZDENEK ZEMAN,HIGHRIVER,away,1,1,D,70.5,451,1.0,
18,SUMMERED,GALLIFREY,home,2,2,D,74.0,433,0.5,2.0
18,GALLIFREY,SUMMERED,away,2,2,D,76.5,343,,
19,SUMMERED,ZDENEK ZEMAN,home,1,2,L,70.5,433,0.5,2.0
19,ZDENEK ZEMAN,SUMMERED,away,2,1,W,73.0,442,1.0,
19,FC MCDONALD,BUSHAOZI,home,1,1,D,68.0,343,,2.0
19,BUSHAOZI,FC MCDONALD,away,1,1,D,70.5,442,,
19,CHOWPOUROMA,TEAM DELVECCHIO23,home,0,1,L,51.0,433,0.5,2.0
19,TEAM DELVECCHIO23,CHOWPOUROMA,away,1,0,W,69.0,343,,
19,TEAM SJ,HIGHRIVER,home,2,0,W,74.0,433,1.0,2.0
19,HIGHRIVER,TEAM SJ,away,0,2,L,61.5,343,,
19,GALLIFREY,BATIGOAL,home,1,1,D,67.0,343,,2.0
19,BATIGOAL,GALLIFREY,away,1,1,D,70.5,442,0.5,
20,BUSHAOZI,SUMMERED,home,2,2,D,72.0,343,,2.0
20,SUMMERED,BUSHAOZI,away,2,2,D,74.5,433,0.5,
20,HIGHRIVER,GALLIFREY,home,3,1,W,80.5,343,,2.0
20,GALLIFREY,HIGHRIVER,away,1,3,L,71.0,343,,
20,TEAM DELVECCHIO23,TEAM SJ,home,2,3,L,72.0,343,,2.0
20,TEAM SJ,TEAM DELVECCHIO23,away,3,2,W,79.5,433,0.5,
20,ZDENEK ZEMAN,CHOWPOUROMA,home,0,0,D,56.5,451,1.0,2.0
20,CHOWPOUROMA,ZDENEK ZEMAN,away,0,0,D,65.5,433,,
20,BATIGOAL,FC MCDONALD,home,2,2,D,75.5,352,,2.0
20,FC MCDONALD,BATIGOAL,away,2,2,D,72.0,343,,
21,SUMMERED,BATIGOAL,home,2,2,D,73.5,442,1.0,2.0
21,BATIGOAL,SUMMERED,away,2,2,D,73.0,433,0.5,
21,FC MCDONALD,HIGHRIVER,home,2,2,D,74.0,343,,2.0
21,HIGHRIVER,FC MCDONALD,away,2,2,D,75.0,343,,
21,CHOWPOUROMA,BUSHAOZI,home,0,3,L,58.5,433,,2.0
21,BUSHAOZI,CHOWPOUROMA,away,3,0,W,81.0,343,,
21,ZDENEK ZEMAN,TEAM DELVECCHIO23,home,1,0,W,69.0,442,1.0,2.0
21,TEAM DELVECCHIO23,ZDENEK ZEMAN,away,0,1,L,55.5,343,,
21,GALLIFREY,TEAM SJ,home,2,2,D,76.0,433,2.0,2.0
21,TEAM SJ,GALLIFREY,away,2,2,D,76.0,442,3.0,
22,BUSHAOZI,ZDENEK ZEMAN,home,2,2,D,76.0,352,,2.0
22,ZDENEK ZEMAN,BUSHAOZI,away,2,2,D,77.5,442,1.0,
22,TEAM SJ,FC MCDONALD,home,2,1,W,73.5,433,0.5,2.0
22,FC MCDONALD,TEAM SJ,away,1,2,L,69.5,343,,
22,HIGHRIVER,SUMMERED,home,3,3,D,79.5,343,,2.0
